file,source,map_name,game_mode,qqt_id,h,w,n_players,wall,brick,overhead,pushable,crate_rate,crate_coverage,music,background,sprites,init_bombs,init_blast,init_speed
level_0000.pt,contest01_8.map,比赛01,比武(match),4001,13,15,8,93,70,0,0,0.505102,1.0,res/wall/比武/M15.OGG,res/wall/比武/bw.png,0,3,3,1.3
level_0001.pt,contest02_8.map,比赛02,比武(match),4002,13,15,8,10,134,0,26,0.263859,1.0,res/wall/沙漠/desert.ogg,res/wall/沙漠/shamo.png,0,3,3,1.3
level_0002.pt,desert01_4.map,沙漠01,普通(normal),301,13,15,4,40,71,4,0,0.663984,1.0,res/wall/沙漠/desert.ogg,res/wall/沙漠/shamo.png,0,2,2,1.3
level_0003.pt,desert02_4.map,沙漠02,普通(normal),302,13,15,4,36,84,3,20,0.561224,1.0,res/wall/沙漠/desert.ogg,res/wall/沙漠/shamo.png,0,2,2,1.3
level_0004.pt,desert03_4.map,沙漠03,普通(normal),303,13,15,4,8,95,0,8,0.496241,1.0,res/wall/沙漠/desert.ogg,res/wall/沙漠/shamo.png,0,2,2,1.3
level_0005.pt,desert04_8.map,沙漠04(道具场),普通(normal),318,13,15,8,53,56,12,9,0.841837,1.0,res/wall/沙漠/desert.ogg,res/wall/沙漠/shamo.png,0,2,2,1.3
level_0006.pt,desert05_8.map,沙漠05,普通(normal),305,13,15,8,42,119,10,0,0.396158,1.0,res/wall/沙漠/desert.ogg,res/wall/沙漠/shamo.png,0,2,2,1.3
level_0007.pt,desert06_8.map,沙漠06,普通(normal),306,13,15,8,60,88,0,0,0.535714,1.0,res/wall/沙漠/desert.ogg,res/wall/沙漠/shamo.png,0,2,2,1.3
level_0008.pt,desert07_4.map,沙漠07,普通(normal),307,13,15,4,14,98,0,0,0.48105,1.0,res/wall/沙漠/desert.ogg,res/wall/沙漠/shamo.png,0,2,2,1.3
level_0009.pt,desert08_6.map,沙漠08,普通(normal),308,13,15,6,46,83,4,10,0.567986,1.0,res/wall/沙漠/desert.ogg,res/wall/沙漠/shamo.png,0,2,2,1.3
level_0010.pt,desert09_8.map,沙漠09/(无变身),普通(normal),316,13,15,8,50,104,1,18,0.453297,1.0,res/wall/沙漠/desert.ogg,res/wall/沙漠/shamo.png,0,2,2,1.3
level_0011.pt,desert10_8.map,沙漠10,普通(normal),310,13,15,8,1,74,0,0,0.637066,1.0,res/wall/沙漠/desert.ogg,res/wall/沙漠/shamo.png,0,2,2,1.3
level_0012.pt,desert11_8.map,爱的考验/(无变身),普通(normal),315,13,15,8,10,134,0,26,0.351812,1.0,res/wall/沙漠/desert.ogg,res/wall/沙漠/shamo.png,0,2,2,1.3
level_0013.pt,desert12_8.map,牵手季节,普通(normal),312,13,15,8,11,107,0,19,0.440587,1.0,res/wall/沙漠/desert.ogg,res/wall/沙漠/shamo.png,0,2,2,1.3
level_0014.pt,desert13_8.map,双双对对,普通(normal),313,13,15,4,8,103,0,0,0.457698,1.0,res/wall/沙漠/desert.ogg,res/wall/沙漠/shamo.png,0,2,2,1.3
level_0015.pt,desert14_8.map,心之懵懂,普通(normal),314,13,15,6,12,123,0,0,0.383275,1.0,res/wall/沙漠/desert.ogg,res/wall/沙漠/shamo.png,0,2,2,1.3
level_0016.pt,desert15_8.map,沙漠15,普通(normal),317,13,15,8,15,106,6,31,0.444744,1.0,res/wall/沙漠/desert.ogg,res/wall/沙漠/shamo.png,0,2,2,1.3
level_0017.pt,desert16_8.map,心心相印,普通(normal),319,13,15,8,5,99,0,28,0.47619,1.0,res/wall/沙漠/desert.ogg,res/wall/沙漠/shamo.png,0,2,2,1.3
level_0018.pt,desert17_8.map,大风车,普通(normal),320,13,15,8,1,162,0,90,0.291005,1.0,res/wall/沙漠/desert.ogg,res/wall/沙漠/shamo.png,0,2,2,1.3
level_0019.pt,desert18_8.map,方型沙漠,普通(normal),321,13,15,8,0,73,7,13,0.645793,1.0,res/wall/沙漠/desert.ogg,res/wall/沙漠/shamo.png,0,2,2,1.3
level_0020.pt,desert19_6.map,两情相愿,普通(normal),322,13,15,6,12,76,0,40,0.620301,1.0,res/wall/沙漠/desert.ogg,res/wall/沙漠/shamo.png,0,2,2,1.3
level_0021.pt,desert20_8.map,沙漠之洲,普通(normal),323,13,15,8,14,79,14,6,0.596745,1.0,res/wall/沙漠/desert.ogg,res/wall/沙漠/shamo.png,0,2,2,1.3
level_0022.pt,desert21_8.map,QQ堂沙漠之旅,普通(normal),324,13,15,8,18,89,6,23,0.529695,1.0,res/wall/沙漠/desert.ogg,res/wall/沙漠/shamo.png,0,2,2,1.3
level_0023.pt,desert22_8.map,针锋相对,普通(normal),325,13,15,8,4,72,0,46,0.654762,1.0,res/wall/沙漠/desert.ogg,res/wall/沙漠/shamo.png,0,2,2,1.3
level_0024.pt,desert26_6.map,双喜临堂,普通(normal),326,13,15,6,8,100,4,4,0.471429,1.0,res/wall/沙漠/desert.ogg,res/wall/沙漠/shamo.png,0,2,2,1.3
level_0025.pt,desert27_8.map,无限进攻,普通(normal),327,13,15,8,5,74,0,14,0.637066,1.0,res/wall/沙漠/desert.ogg,res/wall/沙漠/shamo.png,0,2,2,1.3
level_0026.pt,desert28_8.map,沙漠大迷宫,普通(normal),328,13,15,8,13,78,24,21,0.604396,1.0,res/wall/沙漠/desert.ogg,res/wall/沙漠/shamo.png,0,2,2,1.3
level_0027.pt,desert29_8.map,男左女右,普通(normal),329,13,15,8,3,100,0,46,0.471429,1.0,res/wall/沙漠/desert.ogg,res/wall/沙漠/shamo.png,0,2,2,1.3
level_0028.pt,field01_4.map,野外01,普通(normal),101,13,15,4,15,78,40,0,0.604396,1.0,res/wall/野外/field.ogg,res/wall/野外/yw.PNG,0,2,2,1.3
level_0029.pt,field02_6.map,野外02,普通(normal),102,13,15,6,52,77,4,0,0.612245,1.0,res/wall/野外/field.ogg,res/wall/野外/yw.PNG,0,2,2,1.3
level_0030.pt,field03_8.map,野外03,普通(normal),103,13,15,8,39,84,17,0,0.561224,1.0,res/wall/野外/field.ogg,res/wall/野外/yw.PNG,0,2,2,1.3
level_0031.pt,field04_8.map,野外04,普通(normal),104,13,15,8,61,42,44,0,1.0,0.890909,res/wall/野外/field.ogg,res/wall/野外/yw.PNG,0,3,3,1.3
level_0032.pt,field05_8.map,野外05,普通(normal),105,13,15,8,18,90,51,0,0.52381,1.0,res/wall/野外/field.ogg,res/wall/野外/yw.PNG,0,2,2,1.3
level_0033.pt,field06_8.map,野外06,普通(normal),106,13,15,8,39,105,0,0,0.44898,1.0,res/wall/野外/field.ogg,res/wall/野外/yw.PNG,0,2,2,1.3
level_0034.pt,field07_8.map,野外07,普通(normal),107,13,15,8,56,109,0,0,0.432503,1.0,res/wall/野外/field.ogg,res/wall/野外/yw.PNG,0,2,2,1.3
level_0035.pt,field08_8.map,野外08,普通(normal),108,13,15,8,28,121,22,0,0.38961,1.0,res/wall/野外/field.ogg,res/wall/野外/yw.PNG,0,2,2,1.3
level_0036.pt,field09_8.map,野外09,普通(normal),109,13,15,8,40,85,40,0,0.554622,1.0,res/wall/野外/field.ogg,res/wall/野外/yw.PNG,0,2,2,1.3
level_0037.pt,field10_8.map,野外10,普通(normal),110,13,15,8,59,64,36,0,0.736607,1.0,res/wall/野外/field.ogg,res/wall/野外/yw.PNG,0,2,2,1.3
level_0038.pt,field11_8.map,野外11,普通(normal),111,13,15,8,34,80,38,0,0.589286,1.0,res/wall/野外/field.ogg,res/wall/野外/yw.PNG,0,2,2,1.3
level_0039.pt,field12_8.map,猫之森林,普通(normal),112,13,15,8,10,34,111,0,1.0,0.721212,res/wall/野外/field.ogg,res/wall/野外/yw.PNG,0,3,3,1.3
level_0040.pt,field13_8.map,野外传送带,普通(normal),113,13,15,8,18,95,21,0,0.496241,1.0,res/wall/野外/field.ogg,res/wall/野外/yw.PNG,0,2,2,1.3
level_0041.pt,field14_8.map,野外14,普通(normal),114,13,15,8,34,63,26,0,0.748299,1.0,res/wall/野外/field.ogg,res/wall/野外/yw.PNG,0,2,2,1.3
level_0042.pt,field15_8.map,野外15,普通(normal),115,13,15,8,49,77,32,0,0.612245,1.0,res/wall/野外/field.ogg,res/wall/野外/yw.PNG,0,2,2,1.3
level_0043.pt,field16_8.map,野外16,普通(normal),116,13,15,8,44,9,64,0,1.0,0.190909,res/wall/野外/field.ogg,res/wall/野外/yw.PNG,0,3,3,1.3
level_0044.pt,field17_8.map,野外17,普通(normal),117,13,15,8,0,74,62,0,0.637066,1.0,res/wall/野外/field.ogg,res/wall/野外/yw.PNG,0,2,2,1.3
level_0045.pt,field18_8.map,脉动修正版,普通(normal),118,13,15,8,10,92,85,0,0.512422,1.0,res/wall/野外/field.ogg,res/wall/野外/yw.PNG,0,2,2,1.3
