element_id,city,city_name,elem_no,w,h,xOffset,yOffset,life,special,attrs,img_editor,png_client
1001,1,desert,1,1,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/desert/elem1_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem1_stand.png
1002,1,desert,2,1,1,3,11,1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem2_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem2_stand.png
1003,1,desert,3,1,1,3,11,1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem3_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem3_stand.png
1004,1,desert,4,1,1,3,10,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem4_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem4_stand.png
1005,1,desert,5,1,1,2,20,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem5_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem5_stand.png
1006,1,desert,6,1,1,4,23,1,0x2,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem6_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem6_stand.png
1007,1,desert,7,4,3,4,29,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem7_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem7_stand.png
1008,1,desert,8,1,1,4,24,-1,0x0,5397,qqt/qqt_map_editor_fin-main/mapElem/desert/elem8_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem8_stand.png
1009,1,desert,9,1,1,2,20,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem9_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem9_stand.png
1010,1,desert,10,1,1,4,24,-1,0x0,5397,qqt/qqt_map_editor_fin-main/mapElem/desert/elem10_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem10_stand.png
1011,1,desert,11,1,1,2,31,-1,0x0,0,qqt/qqt_map_editor_fin-main/mapElem/desert/elem11_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem11_stand.png
1012,1,desert,12,1,1,0,0,-1,0x0,3855,qqt/qqt_map_editor_fin-main/mapElem/desert/elem12_stand.img,geno-extracted/QQTang5.2_Beta1Build1/data/object/mapElem/desert/elem12_stand.png
